HOSPITAL_NAME,CITY,STATE_FULL,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score
CentraCare - St. Cloud Hospital,Saint Cloud,Minnesota ,1,0,0,2
Memorial Hospital at Gulfport,Gulfport,Mississippi,1,0,0,2
Forrest General Hospital,Hattiesburg,Mississippi,1,0,0,2
University of Mississippi Medical Center,Jackson,Mississippi,1,0,0,2
North Mississippi Medical Center - Tupelo,Tupelo,Mississippi,1,0,0,2
SSM Health DePaul Hospital - St. Louis,Bridgeton,Missouri,1,0,0,2
Centerpoint Medical Center,Independence ,Missouri,1,0,0,2
Freeman Health System,Joplin,Missouri,1,0,0,2
Mercy Hospital Joplin,Joplin,Missouri,1,0,0,2
St. Luke's Hospital of Kansas City,Kansas City,Missouri,1,0,0,2
University Health Truman Medical Center,Kansas City,Missouri,1,0,0,2
Liberty Hospital,Liberty,Missouri,1,0,0,2
North Kansas City Hospital,North Kansas City,Missouri,1,0,0,2
Mosaic Life Care at St. Joseph - Medical Center,Saint Joseph,Missouri,1,0,0,2
Mercy Hospital South,Saint Louis,Missouri,1,0,0,2
SSM Cardinal Glennon Children's Hospital,Saint Louis,Missouri,0,1,0,2
SSM Health St. Louis University Hospital,Saint Louis,Missouri,1,0,0,2
Cox Medical Center South,Springfield,Missouri,1,0,0,2
Billings Clinic,Billings,Montana,1,0,0,2
SCL Health - St. Vincent Healthcare,Billings,Montana,1,0,0,2
Benefis Hospitals,Great Falls,Montana,1,0,0,2
Providence St. Patrick Hospital,Missoula,Montana,1,0,0,2
CHI Health Good Samaritan,Kearney ,Nebraska,1,0,0,2
Bryan Medical Center West,Lincoln,Nebraska,1,0,0,2
CHI Health Creighton University Medical Center - Bergan Mercy,Omaha,Nebraska,1,0,0,2
Children's Hospital & Medical Center,Omaha,Nebraska,0,1,0,2
Nebraska Medicine - Nebraska Medical Center,Omaha,Nebraska,1,0,0,2
Regional West Medical Center,Scottsbluff,Nebraska,1,0,0,2
Renown Regional Medical Center,Reno,Nevada,1,0,0,2
Concord Hospital,Concord,New Hampshire,1,0,0,2
Elliot Hospital,Manchester,New Hampshire,1,0,0,2
Portsmouth Regional Hospital,Portsmouth,New Hampshire,1,0,0,2
AtlantiCare Regional Medical Center,Atlantic City,New Jersey,1,0,0,2
Hackensack University Medical Center,Hackensack,New Jersey,1,0,0,2
Jersey City Medical Center - RWJBarnabas Health,Jersey City,New Jersey,1,0,0,2
Morristown Medical Center,Morristown,New Jersey,1,0,0,2
St. Joseph's University Medical Center,Paterson,New Jersey,1,0,0,2
Capital Health Regional Medical Center,Trenton,New Jersey,1,0,0,2
South Shore University Hospital (SSUH),Bay Shore,New York,1,0,0,2
NYC Health + Hospitals / Lincoln Medical & Mental Health Center,Bronx,New York,1,0,0,2
St. Barnabas Hospital,Bronx,New York,1,0,0,2
Brookdale Hospital Medical Center,Brooklyn,New York,1,0,0,2
NYC Health + Hospitals / Kings County,Brooklyn,New York,1,0,0,2
NYU Langone Hospital-Brooklyn ,Brooklyn,New York,1,0,0,2
NewYork Presbyterian Brooklyn Methodist Hospital,Brooklyn,New York,1,0,0,2
John R. Oishei Children's Hospital,Buffalo,New York,0,1,0,2
NYC Health + Hospitals / Elmhurst,Elmhurst,New York,1,0,0,2
New York-Presbyterian - Queens,Flushing,New York,1,0,0,2
Jamaica Hospital Medical Center,Jamaica,New York,1,0,0,2
UHS Wilson Medical Center,Johnson City,New York,1,0,0,2
North Shore University Hospital,Manhasset,New York,1,0,0,2
Garnet Health Medical Center,Middletown,New York,1,0,0,2
NYU Langone Hospital-Long Island,Mineola,New York,1,0,0,2
Cohen Children's Medical Center,New Hyde Park,New York,0,1,0,2
Morgan Stanley Children's Hospital of New York-Presbyterian,New York,New York,0,1,0,2
Mount Sinai Morningside,New York,New York,1,0,0,2
NYC Health + Hospitals / Bellevue Hospital,New York,New York,1,0,0,2
Mount Sinai South Nassau,Oceanside,New York,1,0,0,2
Mid Hudson Regional Hospital of Westchester Medical Center,Poughkeepsie,New York,1,0,0,2
Vassar Brothers Medical Center,Poughkeepsie,New York,1,0,0,2
Mission Hospitals,Asheville,North Carolina,1,0,0,2
Duke University Hospital,Durham,North Carolina,1,0,0,2
Moses H. Cone Memorial Hospital,Greensboro,North Carolina,1,0,0,2
"WakeMed Health & Hospitals, Raleigh Campus",Raleigh,North Carolina,1,0,0,2
New Hanover Regional Medical Center,Wilmington,North Carolina,1,0,0,2
CHI St. Alexius Health Bismarck,Bismarck,North Dakota,1,0,0,2
Sanford Medical Center,Bismarck,North Dakota,1,0,0,2
Essentia Health Fargo,Fargo,North Dakota,1,0,0,2
Altru Health System,Grand Forks,North Dakota,1,0,0,2
Trinity Health,Minot,North Dakota,1,0,0,2
Cleveland Clinic Akron General,Akron,Ohio,1,0,0,2
Summa Akron City Hospital,Akron,Ohio,1,0,0,2
Aultman Hospital,Canton,Ohio,1,0,0,2
Mercy Medical Center - Canton,Canton,Ohio,1,0,0,2
Cincinnati Children's Hospital Medical Center,Cincinnati,Ohio,0,1,0,2
Fairview Hospital,Cleveland,Ohio,1,0,0,2
UH Rainbow Babies and Children's Hospital,Cleveland,Ohio,0,1,0,2
University Hospitals Cleveland Medical Center,Cleveland,Ohio,1,0,0,2
Grant Medical Center,Columbus,Ohio,1,0,0,2
Mount Carmel East,Columbus,Ohio,1,0,0,2
OhioHealth Riverside Methodist Hospital,Columbus,Ohio,1,0,0,2
Kettering Health Main Campus,Kettering,Ohio,1,0,0,2
Lima Memorial Health System,Lima,Ohio,1,0,0,2
Mercy Health - St. Rita's Medical Center,Lima,Ohio,1,0,0,2
OhioHealth MedCentral Mansfield Hospital,Mansfield,Ohio,1,0,0,2
Cleveland Clinic Hillcrest Hospital,Mayfield Heights,Ohio,1,0,0,2
Mercy Health - St. Elizabeth Youngstown Hospital,Youngstown ,Ohio,1,0,0,2
St. Charles Medical Center Bend,Bend,Oregon,1,0,0,2
Good Samaritan Regional Medical Center,Corvallis,Oregon,1,0,0,2
Asante Rogue Regional Medical Center,Medford,Oregon,1,0,0,2
Salem Hospital,Salem,Oregon,1,0,0,2
Peacehealth Sacred Heart Medical Center at RiverBend,Springfield,Oregon,1,0,0,2
Jefferson Abington Health,Abington ,Pennsylvania,1,0,0,2
UPMC Altoona,Altoona ,Pennsylvania,1,0,0,2
Lehigh Valley Hospital - Muhlenberg,Bethlehem ,Pennsylvania,1,0,0,2
St. Luke's University Hospital - Bethlehem Campus,Bethlehem ,Pennsylvania,1,0,0,2
Penn State Health Holy Spirit Medical Center,Camp Hill,Pennsylvania,1,0,0,2
St. Luke's Anderson Campus,Easton ,Pennsylvania,1,0,0,2
UPMC Hamot,Erie ,Pennsylvania,1,0,0,2
Conemaugh Memorial Medical Center,Johnstown ,Pennsylvania,1,0,0,2
Penn Medicine Lancaster General Hospital,Lancaster ,Pennsylvania,1,0,0,2
St. Mary Medical Center,Langhorne ,Pennsylvania,1,0,0,2
Forbes Hospital,Monroeville ,Pennsylvania,1,0,0,2
Paoli Hospital,Paoli ,Pennsylvania,1,0,0,2
Children's Hospital of Philadelphia,Philadelphia ,Pennsylvania,0,1,0,2
Einstein Medical Center Philadelphia,Philadelphia ,Pennsylvania,1,0,0,2
Jefferson Torresdale Hospital,Philadelphia ,Pennsylvania,1,0,0,2
Penn Presbyterian Medical Center,Philadelphia ,Pennsylvania,1,0,0,2
Allegheny General Hospital,Pittsburgh,Pennsylvania,1,0,0,2
